supplier,category,title,sku,gtin,sitePrice,landedCost,carriageKnown,photos,tier,rrp,stock,mineBay,keepeBay,minOnBuy,keepOnBuy,vsRrp,viableOnEbayUnderRrp
D.I. Designs,living-room-storage,Abberley Black Oak Sideboard,SB-02,,1163,930,yes,5,below,,,1421,284.75,1339,268.2,,yes
D.I. Designs,living-room-storage,Hampton Ivory Shagreen Chest of Drawers,COD-04I,,1190,930,yes,5,below,,,1421,284.75,1339,268.2,,yes
D.I. Designs,sofas,Candover Neutral Upholstered Sofa,SO-02,,1148,918,NO — margin overstated,6,below,,,1402,280.51,1322,264.99,,yes
D.I. Designs,sofas,Wadborough 3 Seater Sofa in Neutral,SO-06,,1119,895,yes,4,below,,,1367,273.59,1289,258.45,,yes
D.I. Designs,tv-units,Hampton Ivory Shagreen TV Unit,TV-04I,,1095,870,NO — margin overstated,8,below,,,1329,266.1,1253,251.24,,yes
Hill Interiors,sofas,Sorelle Two Seater Sofa with Cushions,24370,5050140437087,1378,853.19,yes,5,strong,1450,17,1303,260.67,1228,245.67,10.1,yes
D.I. Designs,living-room-storage,Broadway Oak Chest of Drawers,COD-05,,1150,846,yes,5,cash,,,1292,258.46,1218,243.91,,yes
D.I. Designs,living-room-storage,Charlton Ribbed Walnut Chest of Drawers,COD-03,,1100,846,yes,8,below,,,1292,258.46,1218,243.91,,yes
D.I. Designs,sofas,Himbleton Green 3 Seater Sofa,SO-03G,,1090,834,yes,9,below,,,1274,255.07,1201,240.7,,yes
D.I. Designs,living-room-storage,Huddington Black Sideboard,SB-06,,1050,810,yes,5,below,,,1237,247.44,1166,233.37,,yes
D.I. Designs,coffee-tables,Bentley Coffee Table in Oak,KK-CT-BEN-OAK-001,,998,798,yes,4,below,,,1219,244.04,1149,230.16,,yes
Hill Interiors,shelving,Light Up Bookcase,24652,5050140465288,1188,779.99,yes,5,viable,1250,40,1192,238.97,1123,224.89,4.6,yes
D.I. Designs,coffee-tables,Elmley Coffee Table in Ivory,KK-CT-ELM-IVY-001,,893,714,yes,5,below,,,1091,218.6,1028,205.86,,yes
D.I. Designs,desks,Charlton Ribbed Walnut Desk,D-11,,980,708,yes,8,cash,,,1082,216.91,1019,203.81,,yes
D.I. Designs,living-room-storage,Easton 2 Drawer Chest of Drawers,COD-07,,890,690,NO — margin overstated,4,below,,,1054,210.97,994,199.43,,yes
D.I. Designs,console-tables,Elmley Ivory Console Table,CO-07I,,863,690,yes,5,below,,,1054,210.97,994,199.43,,yes
D.I. Designs,console-tables,Hampton Brown Shagreen Console Table,CO-14BR,,829,642,yes,6,below,,,981,196.55,925,185.68,,yes
D.I. Designs,living-room-storage,Abberley White Chest of Drawers,COD-08W,,773,618,yes,6,below,,,944,188.92,890,178.35,,yes
D.I. Designs,desks,Abberley White Desk,D-12W,,758,606,yes,5,below,,,926,185.53,873,175.14,,yes
Hill Interiors,shelving,Large Black Multi Shelf Unit,22714,5050140271483,950,588.71,yes,4,strong,1000,40,900,180.59,848,170.05,10,yes
D.I. Designs,console-tables,Bentley Grey Aged Oak Console Table,CO-08,,713,570,yes,4,below,,,871,174.5,821,164.6,,yes
D.I. Designs,sofas,Mickleton Cream Chenille Armchair,CC-05C,,668,534,yes,4,below,,,816,163.48,769,154.06,,yes
D.I. Designs,coffee-tables,Witley Coffee Table,KK-CT-WIT-OAK-001,,655,524,yes,4,below,,,801,160.66,755,151.52,,yes
